,0
821,Don Adams
822,Tiny Archibald
823,Bob Arnzen
824,Dennis Awtrey
825,Moe Barr
826,Tom Black
827,Bob Christian
828,Jimmy Collins
829,Joe Cooke
830,Dave Cowens
831,Pete Cross
832,Terry Driscoll
833,Claude English
834,Greg Fillmore
835,Levi Fontaine
836,Jake Ford
837,Gary Freeman
838,Walt Gilmore
839,Spencer Haywood
840,Gar Heard
841,Al Henry
842,A.W. Holt
843,Greg Howard
844,John Hummer
845,Greg Hyder
846,George Johnson
847,John Johnson
848,Earnie Killum
849,Ron Knight
850,Sam Lacey
851,Bob Lanier
852,Pete Maravich
853,Harvey Marlatt
854,Eddie Mast
855,Jim McMillian
856,Larry Mikan
857,Rex Morgan
858,Calvin Murphy
859,Ralph Ogden
860,Curtis Perry
861,Geoff Petrie
862,Mike Price
863,Bob Riley
864,Paul Ruffner
865,Mike Silliman
866,Garfield Smith
867,Dave Sorenson
868,Dennis Stewart
869,Bill Stricker
870,Gary Suiter
871,Fred Taylor
872,Joe Thomas
873,Rudy Tomjanovich
874,John Vallely
875,Cornell Warner
876,Bobby Washington
877,Jeff Webb
878,Herb White
879,Milt Williams
880,Willie Williams
881,Marv Winkler
882,Gary Zeller
883,Bill Zopf
884,Odis Allison
885,Vic Bartolome
886,Fred Brown
887,Austin Carr
888,Sid Catlett
889,Phil Chenier
890,Jim Cleamons
891,Charlie Davis
892,Jackie Dinkins
893,Ken Durrett
894,Dick Gibbs
895,Clarence Glover
896,Jeff Halliburton
897,Fred Hilton
898,Jake Jones
899,Mo Layton
900,Stan Love
901,Charlie Lowery
902,Jim Marsh
903,Jim McDaniels
904,Gil McGregor
905,Kenny McIntosh
906,Cliff Meely
907,Dean Meminger
908,John Mengelt
909,Barry Nelson
910,Mike Newlin
911,Willie Norwood
912,Steve Patterson
913,Tom Payne
914,Howard Porter
915,Clifford Ray
916,Jackie Ridgle
917,Rich Rinaldi
918,Curtis Rowe
919,Charlie Scott
920,Elmore Smith
921,Randy Smith
922,William Smith
923,Larry Steele
924,George Trapp
925,Sidney Wicks
926,Nate Williams
927,Isaiah Wilson
928,Dave Wohl
929,Barry Yates
930,Charlie Yelverton
931,Henry Bibby
932,Freddie Boyd
933,Steve Bracey
934,John Brisker
935,Roger Brown
936,Corky Calhoun
937,Bob Davis
938,Dwight Davis
939,Mickey Davis
940,Charles Dudley
941,Scott English
942,Chris Ford
943,Harold Fox
944,Rowland Garrett
945,John Gianelli
946,Travis Grant
947,Luther Green
948,Charles Johnson
949,Ollie Johnson
950,Manny Leaks
951,Russ Lee
952,LaRue Martin
953,Bob McAdoo
954,Paul McCracken
955,Eric McWilliams
956,Mark Minor
957,Bob Nash
958,Lloyd Neal
959,Tom Patterson
960,Kevin Porter
961,Jim Price
962,Mike Ratliff
963,Tom Riker
964,Ron Riley
965,Frank Russell
966,Frank Schade
967,Sam Sibert
968,Bud Stallworth
969,Paul Stovall
970,Chuck Terry
971,Justus Thigpen
972,John Tschogl
973,Paul Westphal
974,Harthorne Wingo
975,Joby Wright
976,Mike Bantom
977,Ron Behagen
978,Dennis Bell
979,Jim Brewer
980,Allan Bristow
981,John Brown
982,Larry Cannon
983,Bill Chamberlain
984,Ken Charles
985,E.C. Coleman
986,Doug Collins
987,Mike D'Antoni
988,Mel Davis
989,Derrek Dickey
990,Ernie DiGregorio
991,Steve Downing
992,Rod Freeman
993,Bernie Fryer
994,Jim Garvin
995,Phil Hankinson
996,Nate Hawthorne
997,Tom Ingelsby
998,Dwight Jones
999,Ben Kelso
1000,Tom Kozelko
1001,Kevin Kunnert
1002,Mike Macaluso
1003,Ted Manakas
1004,Vester Marshall
1005,Allie McGuire
1006,Larry McNeill
1007,Gary Melchionni
1008,Louie Nelson
1009,Jim Owens
1010,Ed Ratleff
1011,Joe Reaves
1012,Mark Sibley
1013,Bob Verga
1014,Kermit Washington
1015,Slick Watts
1016,Nick Weatherspoon
1017,Luke Witte
1018,Dan Anderson
1019,Jim Ard
1020,Gus Bailey
1021,Leon Benbow
1022,Ken Boyd
1023,Gary Brokaw
1024,Tom Burleson
1025,Harvey Catchings
1026,Jim Chones
1027,Ben Clyde
1028,Jesse Dark
1029,Rod Derline
1030,John Drew
1031,Dennis DuVal
1032,Al Eberhard
1033,Leonard Gray
1034,Bernie Harris
1035,Steve Hawes
1036,Tom Henderson
1037,Greg Jackson
1038,Wardell Jackson
1039,Aaron James
1040,Mickey Johnson
1041,Jimmy Jones
1042,Frank Kendrick
1043,Len Kosmalski
1044,Bill Ligon
1045,Phil Lumpkin
1046,Glenn McDonald
1047,Eric Money
1048,Connie Norman
1049,Kevin Restani
1050,Truck Robinson
1051,Campy Russell
1052,Fred Saunders
1053,Tal Skinner
1054,Don Smith
1055,Phil Smith
1056,Mike Sojourner
1057,Kevin Stacom
1058,George Thompson
1059,Dean Tolson
1060,Foots Walker
1061,Bill Walton
1062,Perry Warbington
1063,Stan Washington
1064,Scott Wedman
1065,Owen Wells
1066,Jamaal Wilkes
1067,Earl Williams
1068,Bobby Wilson
1069,Brian Winters
1070,Alvan Adams
1071,Jerome Anderson
1072,Jerry Baskerville
1073,Bob Bigelow
1074,Tom Boswell
1075,Junior Bridgeman
1076,Joe Bryant
1077,Al Carlson
1078,Jim Creighton
1079,Darryl Dawkins
1080,Henry Dickerson
1081,Eric Fernsten
1082,Larry Fogle
1083,Don Ford
1084,World B. Free
1085,Donnie Freeman
1086,Kevin Grevey
1087,Bob Gross
1088,Lindsay Hairston
1089,Glenn Hansen
1090,Bubbles Hawkins
1091,Wilbur Holland
1092,Lionel Hollins
1093,Steve Jones
1094,Rich Kelley
1095,Tom Kropp
1096,C.J. Kupec
1097,John Lambert
1098,John Laskowski
1099,Greg Lee
1100,Clyde Mayes
1101,Ken Mayfield
1102,Jim McElroy
1103,George McGinnis
1104,Tom McMillen
1105,Joe Meriweather
1106,Dave Meyers
1107,Frank Oleynick
1108,Cliff Pondexter
1109,Bill Robinzine
1110,John Roche
1111,Bruce Seals
1112,Ed Searcy
1113,Gene Short
1114,John Shumate
